location_id,location_name,demand_charge,suggested_kwp,original_peak_no_pv,optimized_peak_no_pv,reduction_no_pv,savings_no_pv,original_peak_pv,optimized_peak_pv,reduction_pv,savings_pv,warning_no_pv,warning_pv,file_path
83175,"1102 Alloheim Senioren-Residenz ""Knoop's Huus""",18.49,237,119.7,51.7,68.0,1257.32,107.87705856617681,35.877058566176814,72.0,1331.28,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1102 Alloheim Senioren-Residenz Knoops Huus_18859_83175_20251031_172516.xlsx
83419,"1103 Alloheim Senioren-Residenz ""Rotermundstraße"" AP""",90.58,210,61.072,25.072000000000003,36.0,3260.88,61.06919381807391,20.069193818073913,41.0,3713.7799999999997,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1103 Alloheim Senioren-Residenz Rotermundstraße AP_18859_83419_20251031_172724.xlsx
82858,"1106 Alloheim Senioren-Residenz ""Wohnpark Dimbeck""",78.46,450,99.96,35.959999999999994,64.0,5021.44,92.68198048477261,25.68198048477261,67.0,5256.82,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1106 Alloheim Senioren-Residenz Wohnpark Dimbeck_18859_82858_20251031_172859.xlsx
82832,"1108 Alloheim Senioren-Residenz ""Am Alten Rathaus""",0.0,200,91.396,37.396,54.0,0.0,82.01311241129065,33.01311241129065,49.0,0.0,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1108 Alloheim Senioren-Residenz Am Alten Rathaus_18859_82832_20251031_171639.xlsx
83022,"1110 Alloheim Senioren-Residenz ""Dormagen""  ",176.8,250,160.8,72.80000000000001,88.0,15558.400000000001,160.31602327542325,60.31602327542325,100.0,17680.0,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1110 Alloheim Senioren-Residenz Dormagen  _18859_83022_20251031_171407.xlsx
82865,"1115 Alloheim Senioren-Residenz ""Am Kurpark""",20.27,87,68.452,15.451999999999998,53.0,1074.31,60.36376495401493,13.363764954014933,47.0,952.6899999999999,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1115 Alloheim Senioren-Residenz Am Kurpark_18859_82865_20251031_172715.xlsx
83177,"1120 Alloheim Senioren-Residenz ""Mainpark""",153.47,162,84.672,39.672,45.0,6906.15,81.5968655358041,34.5968655358041,47.0,7213.09,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1120 Alloheim Senioren-Residenz Mainpark_18859_83177_20251031_170508.xlsx
82918,"1125 Alloheim Senioren-Residenz ""Bürgerwiese""                                             ",167.46,300,72.252,26.251999999999995,46.0,7703.160000000001,61.75654870262491,18.75654870262491,43.0,7200.780000000001,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1125 Alloheim Senioren-Residenz Bürgerwiese                                             _18859_82918_20251031_171134.xlsx
82924,"1140 Alloheim Sozialpsychatrisches Zentrum ""Arienheller""",165.21,0,86.3,35.3,51.0,8425.710000000001,86.3,35.3,51.0,8425.710000000001,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1140 Alloheim Sozialpsychatrisches Zentrum Arienheller_18859_82924_20251031_170540.xlsx
83014,"1150 Alloheim Senioren-Residenz ""Am Entenmoos""",120.58,240,81.88,29.879999999999995,52.0,6270.16,75.31895270352452,25.318952703524516,50.0,6029.0,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1150 Alloheim Senioren-Residenz Am Entenmoos_18859_83014_20251031_172049.xlsx
